Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C16, C3, C5, C8, C9",0603,10,10u,C19702
"C13, C15, C17, C2, C4, C6",0603,6,1u,C15849
"C18, C19, C7",0603,3,100n,C14663
"J1, J17",JST_XH_B6B-XH-AM_1x06_P2.50mm_Vertical,2,Conn_01x04_Pin,C161873
"J10, J13, J16, J3, J4, J7",JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical,6,Conn_01x05_Pin,C161872
"J11, J14, J2, J5, J6, J8",PinHeader_1x03_P2.54mm_Vertical,6,HallSensor,C6332196
J15,SOT-89-3,1,~,C351450
J9,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C6332197
"R1, R10, R11, R12, R2, R3, R4, R5, R6, R7, R8, R9",0805,12,20k,C4328
"U1, U2, U3, U5, U6, U7",SOIC-16_3.9x9.9mm_P1.27mm,6,ULN2003A,C7512
U4,LQFP-48_7x7mm_P0.5mm,1,STM32F030C8Tx,C62514
U8,SOT-23-3,1,LDO,C5446
