Designator,Mid X,Mid Y,Rotation,Layer
C1,35.9,-26.9,270.0,top
C10,180.499999,-34.325,270.0,top
C11,187.1,-26.9,270.0,top
C12,167.9,-38.6,90.0,top
C13,209.1,-32.9,270.0,top
C14,241.3,-23.0,0.0,top
C15,259.5,-32.9,270.0,top
C16,287.9,-26.9,270.0,top
C17,309.9,-32.9,270.0,top
C2,57.9,-32.9,270.0,top
C3,86.3,-26.9,270.0,top
C4,108.3,-32.9,270.0,top
C5,136.7,-26.9,270.0,top
C6,158.7,-32.9,270.0,top
C7,173.4,-28.425,180.0,top
C8,173.4,-30.125,0.0,top
C9,179.7,-32.0,0.0,top
J1,25.25,-31.199999,90.0,top
J10,201.1,-24.9,180.0,top
J13,251.5,-24.9,180.0,top
J15,275.075,-29.6,270.0,top
J16,301.9,-24.9,180.0,top
J17,318.9,-33.5,90.0,top
J3,49.9,-24.9,180.0,top
J4,100.3,-24.9,180.0,top
J7,150.7,-24.9,180.0,top
U1,50.9,-32.9,0.0,top
U2,101.3,-32.9,0.0,top
U3,151.7,-32.9,0.0,top
U4,174.2375,-36.875,180.0,top
U5,202.1,-32.9,0.0,top
U6,252.5,-32.9,0.0,top
U7,302.9,-32.9,0.0,top
